"";"Pel_CHP1_PubGel1";"Pel_PV1_PubGel1";"Pel_PubGel1_Demel1";"Pel_CHP1_Demel1";"Pel_PV1_Demel1";"Pel_PubGel1_Demel2";"Pel_CHP1_Demel2";"Pel_PV1_Demel2";"Pfuel_PubGfuel1_GaBo1";"Pfuel_PubGfuel1_CHP1";"Pth_CHP1_TS1";"Pth_GaBo1_Demth1";"Pth_TS1_Demth1";"Eth_TS1";"Op_CHP1";"epex"
"3226";0;13,625193;0;0;10,0395;0;0;0;0;0;0;0;11,115;93,4085335172524;0;-0,007644625
"3227";0;12,146859;0;0;10,25361;0;0;0;0;0;0;0;10,59;82,5849429799043;0;-0,007644625
"3228";0;13,141107;0;0;10,20753;0;0;0;0;0;0;0;10,095;72,2834194377701;0;-0,007644625
"3229";0;11,43774;0;0;9,89604;0;0;0;0;0;0;0;9,87;62,2326573365783;0;0,057148933
"3230";0;12,499863;0;0;9,58455;0;0;0;0;0;0;0;9,57;52,5070295869448;0;0,057148933
"3231";0;13,428066;0;0;9,40698;0;0;0;0;0;0;0;9,225;43,1507231121086;0;0,057148933
"3232";0;4,326162;0;0;9,34326;0;0;0;0;0;0;0;9,315;33,7278143352637;0;0,057148933
"3233";0;0;0;0;9,53109;0,943214000000012;20;1,056786;0;52,5003281270508;29,0001312508203;0;9,585;53,0586010623292;1;-0,00076848
"3234";0;0;7,81858910000001;0;1,89934089999999;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;10,095;71,8310465009822;1;-0,00076848
"3235";0;0;8,2943343;0;1,3866957;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;10,905;89,746546918102;1;-0,00076848
"3236";0;0;9,32904;0;0;1,88266421000001;20;0,11733579;0;52,5003281270508;29,0001312508203;0;11,67;106,852245311127;1;-0,00076848
"3237";0;0;9,28944;0;0;0;0;0;0;0;0;0;11,97;94,6150355342551;0;0,047503628
"3238";0;0;9,11781;0;0;0;0;0;0;0;0;0;11,445;82,9334278480037;0;0,047503628
"3239";0;0;8,388;0;0;0;0;0;0;0;0;0;9,435;73,2910328355174;0;0,047503628
"3240";0;0;7,767;0;0;0;0;0;3,98583227297681;0;0;3,58724904567913;3,32775095432087;69,78;0;0,047503628
"3241";0;0;7,506;0;0;22;0;0;0;0;0;0;4,335;65,2704983021102;0;0,06566908
"3242";0;0;7,479;0;0;22;0;0;0;0;0;0;4,245;60,8622736994185;0;0,06566908
"3243";0;0;7,623;0;0;22;0;0;0;0;0;0;4,005;56,7050729241537;0;0,06566908
"3244";0;0;7,61954163;0;0,07545837;22;0;0;0;0;0;0;4,245;52,3182682307712;0;0,06566908
"3245";0;0;7,22616585;0;0,33383415;0;0;0;0;0;0;0;7,17;45,017433799173;0;-0,02939276
"3246";0;4,44089209850063e-16;5,7959805;0;1,5210195;0;0;0;0;0;0;0;10,68;34,2248568626211;0;-0,02939276
"3247";0;0,724002506999999;0;0;7,533;0;0;0;0;0;0;0;11,55;22,5892693643041;0;-0,02939276
"3248";0;4,481896131;0;0;7,893;0;0;0;0;0;0;0;10,56;11,9727794551874;0;-0,02939276
"3249";0;0;0;0;8,316;12,076210705;0;9,923789295;0;0;0;0;9,705;2,23783863627958;0;0,028486887
"3250";0;14,028302986;0;0;8,703;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;9,495;21,7373736325623;1;0,028486887
"3251";0;0;0;0;9,1557;2,968008598;0;19,031991402;0;0;0;0;8,91;12,7730140939187;0;0,028486887
"3252";0;18,730179334;0;0;9,12771;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;8,55;33,1912033463647;1;0,028486887
"3253";0;17,812766614;0;0;8,901;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;8,505;53,6033319984613;1;-0,005296926
"3254";0;16,893574003;0;0;8,64;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;7,755;74,7144152061993;1;-0,005296926
"3255";0;12,424145605;0;0;8,451;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;7,635;95,8927050653555;1;-0,005296926
"3256";0;8,66394988599999;0;0;8,406;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;7,305;117,34803350951;1;-0,005296926
"3257";0;2,134738041;0;0;8,586;0;0;0;0;0;0;0;7,44;109,61457648613;0;-0,005548677
"3258";0;0;5,0786871;0;3,7413129;0;0;0;0;0;0;0;7,83;101,510458834793;0;-0,005548677
"3259";0;0;7,4271564;0;1,3748436;0;0;0;0;0;0;0;8,49;92,76660748168;0;-0,005548677
"3260";0;0;8,45900931;0;0,14499069;0;0;0;0;0;0;0;9,06;83,4746222350044;0;-0,005548677
"3261";0;0;8,838;0;0;0;0;0;0;0;0;0;9,57;73,695873835596;0;0,02255533
"3262";0;0;9,03159;0;0;0;0;0;6,676374859125;0;0;6,0087373732125;3,3812626267875;70,1303169251774;0;0,02255533
"3263";0;0;8,298;0;0;0;0;0;8,81666666666667;0;0;7,935;0;69,9549391754355;0;0,02255533
