Zeit;Waermebedarf;Strombedarf;DayAhead_Preis;PV;E_Mob
1242000;0,000237608;0,000139144;44,740906;1,81E-05;0,00E+00
1245600;0,000232689;0,000139754;44,740906;5,72E-05;0,00E+00
1249200;0,000226293;0,000141506;44,740906;7,55E-05;0,00E+00
1252800;0,000219406;0,000142863;44,740906;1,07E-04;0,00E+00
1256400;0,000217438;0,000141922;-26,561565;8,75E-05;2
1260000;0,000216946;0,000139885;-26,561565;1,12E-04;2
1263600;0,000218422;0,000136743;-26,561565;7,31E-05;2
1267200;0,00022039;0,000135188;-26,561565;2,52E-05;2
1270800;0,000229737;0,000134795;2,537128;0;2
1274400;0,000237608;0,000139893;2,537128;0;2
1278000;0,000242527;0,000141304;2,537128;0;2
1281600;0,000241544;0,000138103;2,537128;0;2
1285200;0,000236132;0,000130706;57,35321;0;2
1288800;0,000215471;0,000124926;57,35321;0;2
1292400;0,000187922;0,000123086;57,35321;0;2
1296000;0,000138236;0,000116544;57,35321;0;2,00E+00
1299600;0,000116832;0,000110384;-24,998373;0;0,00E+00
1303200;0,000124226;0,00010568;-24,998373;0;0,00E+00
1306800;0,000125705;0,000102672;-24,998373;0;0,00E+00
1310400;0,000135071;0,000100733;-24,998373;0;0,00E+00
1314000;0,0001681;9,99E-05;31,567371;0;0,00E+00
1317600;0,000248452;9,81E-05;31,567371;0;0,00E+00
1321200;0,000245987;9,71E-05;31,567371;0;0
1324800;0,000239086;0,000103286;31,567371;9,92E-06;0,00E+00
1328400;0,0002381;0,000110224;22,286304;4,20E-05;2,00E+00
1332000;0,00023317;0,000116491;22,286304;0,00044837;2,00E+00
1335600;0,000226762;0,000120098;22,286304;0,000563901;2,00E+00
1339200;0,00021986;0,000122687;22,286304;0,000617416;2,00E+00
1342800;0,000217889;0,000122026;6,974146;0,000586574;0
1346400;0,000217396;0,000118831;6,974146;0,000486381;0
1350000;0,000218875;0,000116432;6,974146;0,000210819;0
1353600;0,000220846;0,000116203;6,974146;2,43E-05;0
1357200;0,000230213;0,000117601;47,10662;0;0
1360800;0,0002381;0,000124944;47,10662;0;0
1364400;0,00024303;0,00012863;47,10662;0;0
1368000;0,000242044;0,000125738;47,10662;0;0
1371600;0,000236621;0,000118358;46,621014;0;0
1375200;0,000215917;0,000115398;46,621014;0;0
1378800;0,000188311;0,000115875;46,621014;0;0
1382400;0,000138522;0,000111237;46,621014;0;0,00E+00
1386000;0,000112405;0,000106294;-11,26624;0;0,00E+00
1389600;0,000119519;0,000101276;-11,26624;0;0,00E+00
1393200;0,000120942;9,73E-05;-11,26624;0;0,00E+00
1396800;0,000129954;9,57E-05;-11,26624;0;0,00E+00
1400400;0,000161731;9,42E-05;52,587467;0;2,00E+00
1404000;0,000239039;9,08E-05;52,587467;0;2,00E+00
1407600;0,000236668;8,66E-05;52,587467;0;2
1411200;0,000230028;8,74E-05;52,587467;9,47E-06;2,00E+00
1414800;0,000229079;9,26E-05;57,643562;0,0001741;2,00E+00
1418400;0,000224336;9,96E-05;57,643562;0,000479208;2,00E+00
1422000;0,00021817;0,000104731;57,643562;0,000579919;2,00E+00
1425600;0,00021153;0,000110042;57,643562;0,000636107;2,00E+00
1429200;0,000209633;0,000109952;74,57827;0,000631827;0
1432800;0,000209159;0,000106153;74,57827;0,000499336;0
1436400;0,000210582;0,000103079;74,57827;0,000224876;0
1440000;0,000212479;0,000101732;74,57827;2,54E-05;0
1443600;0,00022149;0,000102479;45,40799;0;2
1447200;0,000229079;0,000110988;45,40799;0;2
1450800;0,000233822;0,000116737;45,40799;0;2
1454400;0,000232873;0,000115912;45,40799;0;2
1458000;0,000227656;0,000111581;52,35805;0;2
1461600;0,000207736;0,000109217;52,35805;0;2
1465200;0,000181176;0,000110478;52,35805;0;2
1468800;0,000133274;0,00010443;52,35805;0;2,00E+00
1472400;0,000107479;9,90E-05;15,283655;0;2,00E+00
1476000;0,000114282;9,50E-05;15,283655;0;2,00E+00
1479600;0,000115642;9,30E-05;15,283655;0;2,00E+00
1483200;0,000124259;9,28E-05;15,283655;0;2,00E+00
1486800;0,000154643;9,50E-05;40,564877;0;2,00E+00
1490400;0,000228564;0,000100553;40,564877;0;2,00E+00
1494000;0,000226296;0,000112547;40,564877;0;2
1497600;0,000219947;0,000126555;40,564877;6,20E-06;2,00E+00
1501200;0,00021904;0,000132501;49,893047;1,72E-05;2,00E+00
1504800;0,000214505;0,000134183;49,893047;4,13E-05;2,00E+00
1508400;0,00020861;0,000135241;49,893047;4,92E-05;2,00E+00
1512000;0,000202261;0,000137718;49,893047;4,11E-05;2,00E+00
1515600;0,000200447;0,000137141;19,671856;2,40E-05;0
1519200;0,000199993;0,00013649;19,671856;1,62E-05;0
1522800;0,000201354;0,000134384;19,671856;1,86E-05;0
1526400;0,000203168;0,00013309;19,671856;9,14E-06;0
1530000;0,000211784;0,000132437;53,623444;2,27E-06;0
1533600;0,00021904;0,000138025;53,623444;0,00E+00;0
1537200;0,000223575;0,00014055;53,623444;0,00E+00;0
1540800;0,000222668;0,000138287;53,623444;0,00E+00;0
1544400;0,00021768;0,000131514;42,666252;0,00E+00;2
1548000;0,000198633;0,000126041;42,666252;0,00E+00;2
1551600;0,000173237;0,000122288;42,666252;0,00E+00;2
1555200;0,000127433;0,000112713;42,666252;0,00E+00;2,00E+00
1558800;0,000102002;0,00010549;8,644833;0,00E+00;0,00E+00
1562400;0,000108458;0,000101798;8,644833;0,00E+00;0,00E+00
1566000;0,000109749;0,000100377;8,644833;0,00E+00;0,00E+00
1569600;0,000117926;0,000100404;8,644833;0,00E+00;0,00E+00
1573200;0,000146762;0,000102551;33,71226;0,00E+00;2,00E+00
1576800;0,000216915;0,000107209;33,71226;0,00E+00;2,00E+00
1580400;0,000214763;0,000119766;33,71226;0,00E+00;2
1584000;0,000208738;0,000133655;33,71226;1,14E-05;2,00E+00
1587600;0,000207877;0,000138817;-26,577902;5,13E-05;0,00E+00
1591200;0,000203573;0,000138798;-26,577902;2,18E-04;0,00E+00
1594800;0,000197978;0,000139828;-26,577902;5,25E-04;0,00E+00
1598400;0,000191953;0,00014081;-26,577902;5,25E-04;0,00E+00
1602000;0,000190231;0,00013992;-22,000952;2,89E-04;0
1605600;0,000189801;0,000138682;-22,000952;5,15E-04;0
1609200;0,000191092;0,000136565;-22,000952;2,13E-04;0
1612800;0,000192813;0,000135804;-22,000952;2,93E-05;0
1616400;0,000200991;0,00013538;29,070509;2,23E-06;0
1620000;0,000207877;0,000140634;29,070509;0;0
1623600;0,000212181;0,000143002;29,070509;0;0
1627200;0,00021132;0,000141162;29,070509;0;0
1630800;0,000206586;0,000133718;75,89985;0;0
1634400;0,000188509;0,00012792;75,89985;0;0
1638000;0,000164408;0,000123636;75,89985;0;0
1641600;0,000120939;0,000114504;75,89985;0;0,00E+00
1645200;9,13E-05;0,000107684;-5,423301;0;0,00E+00
1648800;0,000100123;0,000104094;-5,423301;0;0,00E+00
1652400;9,41E-05;0,000101655;-5,423301;0;0,00E+00
1656000;0,000102118;0,000101687;-5,423301;0;0,00E+00
1659600;0,000138018;0,000103353;54,812267;0;0,00E+00
1663200;0,000205831;0,000107729;54,812267;0;0,00E+00
